Nome,Preço,Link
"Fritadeira Elétrica Cube Fry Elgin 4,2 L Airfryer 110v","R$
229
,
97
R$
209
,
90
8% OFF
em 6x R$34,98 sem juros",https://www.mercadolivre.com.br/fritadeira-eletrica-cube-fry-elgin-42-l-airfryer-110v/p/MLB38054453?pdp_filters=item_id%3AMLB5005769716#polycard_client=offers&deal_print_id=df0616d5-3ad5-403f-9d65-04f576e7fe22&position=1&wid=MLB5005769716&sid=offers
Conj Panelas 8pçs Brinox Vanilla Ceramic Life Smart Plus Cor Vanilla 4791/105,"R$
1.179
R$
649
,
90
44% OFF
em 10x R$64,99 sem juros",https://www.mercadolivre.com.br/conj-panelas-8pcs-brinox-vanilla-ceramic-life-smart-plus-cor-vanilla-4791105/p/MLB32717965?pdp_filters=item_id%3AMLB3797364569#polycard_client=offers&deal_print_id=df0616d5-3ad5-403f-9d65-04f576e7fe22&position=2&wid=MLB3797364569&sid=offers
Lavadora De Alta Pressão Wap Ousada Wl 2600 1500w 1750psi,"R$
921
,
55
R$
498
45% OFF
em 10x R$49,80 sem juros",https://produto.mercadolivre.com.br/MLB-3485994299-lavadora-de-alta-presso-wap-ousada-wl-2600-1500w-1750psi-_JM#polycard_client=offers&deal_print_id=df0616d5-3ad5-403f-9d65-04f576e7fe22&position=3
Geladeira Cycle Defrost Electrolux 240l Branco Re31 127v,"R$
2.156
R$
1.619
24% OFF no Pix
ou R$1.799 em 10x R$179,90 sem juros",https://www.mercadolivre.com.br/geladeira-cycle-defrost-electrolux-240l-branco-re31-127v/p/MLB6077910?pdp_filters=item_id%3AMLB2036310054#polycard_client=offers&deal_print_id=df0616d5-3ad5-403f-9d65-04f576e7fe22&position=4&wid=MLB2036310054&sid=offers
"Notebook Gamer Acer Nitro V Anv15-51-57ws Intel® Core I5-13420h 13ªgeração 512ssd 8gb Nvidia® Geforce® Rtx 3050 Gddr6 Linux Gutta 15,6'","R$
5.998
R$
4.499
24% OFF
em 10x R$449,90 sem juros",https://www.mercadolivre.com.br/notebook-gamer-acer-nitro-v-anv15-51-57ws-intel-core-i5-13420h-13geraco-512ssd-8gb-nvidia-geforce-rtx-3050-gddr6-linux-gutta-156/p/MLB37396835?pdp_filters=item_id%3AMLB3722589767#polycard_client=offers&deal_print_id=df0616d5-3ad5-403f-9d65-04f576e7fe22&position=5&wid=MLB3722589767&sid=offers
Kit 6 Pares Meias Lupo Original Cano Médio Alto 3245 Atacado,"R$
109
,
82
R$
59
,
30
46% OFF
em 12x R$5,81",https://produto.mercadolivre.com.br/MLB-1914247665-kit-6-pares-meias-lupo-original-cano-medio-alto-3245-atacado-_JM#polycard_client=offers&deal_print_id=df0616d5-3ad5-403f-9d65-04f576e7fe22&position=6
Lavadora Electrolux 12kg Com Dispenser Autolimpante Lac12 127v,"R$
1.949
R$
1.652
15% OFF no Pix
ou R$1.739 em 10x R$173,90 sem juros",https://www.mercadolivre.com.br/lavadora-electrolux-12kg-com-dispenser-autolimpante-lac12-127v/p/MLB8045007?pdp_filters=item_id%3AMLB2042392928#polycard_client=offers&deal_print_id=df0616d5-3ad5-403f-9d65-04f576e7fe22&position=7&wid=MLB2042392928&sid=offers
Conjunto 8 Cadeiras Allegra,"R$
1.499
R$
929
,
99
38% OFF
em 10x R$93 sem juros",https://produto.mercadolivre.com.br/MLB-3665794225-conjunto-8-cadeiras-allegra-_JM#polycard_client=offers&deal_print_id=df0616d5-3ad5-403f-9d65-04f576e7fe22&position=8
Kit 10 Cuecas Box Boxer Estampadas Masculino Atacado Revenda,"R$
78
,
99
R$
38
,
99
50% OFF
em 12x R$3,82",https://produto.mercadolivre.com.br/MLB-1586040085-kit-10-cuecas-box-boxer-estampadas-masculino-atacado-revenda-_JM#polycard_client=offers&deal_print_id=df0616d5-3ad5-403f-9d65-04f576e7fe22&position=9
Kit Wella Pro Invigo Enrich Shampoo 1l + Condicionador 1l,"R$
546
,
90
R$
267
51% OFF
em 8x R$33,38 sem juros",https://produto.mercadolivre.com.br/MLB-2165243404-kit-wella-pro-invigo-enrich-shampoo-1l-condicionador-1l-_JM#polycard_client=offers&deal_print_id=df0616d5-3ad5-403f-9d65-04f576e7fe22&position=10&wid=MLB2165243404&sid=offers
Samsung Galaxy A15 Dual Sim 4g 256gb Azul Escuro 8gb Ram,"R$
1.831
R$
989
,
10
46% OFF no Pix
ou R$1.099 em 10x R$109,90 sem juros",https://www.mercadolivre.com.br/samsung-galaxy-a15-dual-sim-4g-256gb-azul-escuro-8gb-ram/p/MLB31214368?pdp_filters=item_id%3AMLB3616662829#polycard_client=offers&deal_print_id=df0616d5-3ad5-403f-9d65-04f576e7fe22&position=11&wid=MLB3616662829&sid=offers
Parafusadeira E Furadeira De Impacto 3/8 Wap K21 Id02 2000 Mah Bivolt,"R$
412
,
31
R$
219
,
90
46% OFF
em 7x R$31,41 sem juros",https://www.mercadolivre.com.br/parafusadeira-e-furadeira-de-impacto-38-wap-k21-id02-2000-mah-bivolt/p/MLB28765604?pdp_filters=item_id%3AMLB4287759534#polycard_client=offers&deal_print_id=df0616d5-3ad5-403f-9d65-04f576e7fe22&position=12&wid=MLB4287759534&sid=offers
Kit Wella Professionals Oil Reflections - Óleo Ligh E Óleo,"R$
377
,
90
R$
161
57% OFF
em 5x R$32,20 sem juros",https://www.mercadolivre.com.br/kit-wella-professionals-oil-reflections-oleo-ligh-e-oleo/p/MLB27656826?pdp_filters=item_id%3AMLB3620880727#polycard_client=offers&deal_print_id=df0616d5-3ad5-403f-9d65-04f576e7fe22&position=13&wid=MLB3620880727&sid=offers
Creatina Monohidratada Pura 600g Dark Lab Unidade,"R$
117
,
90
R$
78
,
68
33% OFF
em 12x R$7,71",https://www.mercadolivre.com.br/creatina-monohidratada-pura-600g-dark-lab-unidade/p/MLB39089853?pdp_filters=item_id%3AMLB3807070759#polycard_client=offers&deal_print_id=df0616d5-3ad5-403f-9d65-04f576e7fe22&position=14&wid=MLB3807070759&sid=offers
Ventilador De Teto Wind Inverter Ventisol C/ Controle 96cm De Diâmetro Branco Bivolt,"R$
292
R$
217
,
90
25% OFF
em 12x R$21,36",https://www.mercadolivre.com.br/ventilador-de-teto-wind-inverter-ventisol-c-controle-96cm-de-dimetro-branco-bivolt/p/MLB40006164?pdp_filters=item_id%3AMLB3840256841#polycard_client=offers&deal_print_id=df0616d5-3ad5-403f-9d65-04f576e7fe22&position=15&wid=MLB3840256841&sid=offers
Projetor Portátil 4k Hd Android 11.0 Smart Wifi 5g Bluetooth,"R$
339
,
90
R$
259
23% OFF
em 12x R$25,33",https://produto.mercadolivre.com.br/MLB-3533684445-projetor-portatil-4k-hd-android-110-smart-wifi-5g-bluetooth-_JM#polycard_client=offers&deal_print_id=df0616d5-3ad5-403f-9d65-04f576e7fe22&position=16
Tênis Feminino Ua Ch.great Under Armour,"R$
299
,
99
R$
202
,
99
32% OFF
em 12x R$19,90",https://produto.mercadolivre.com.br/MLB-3765002653-tnis-feminino-ua-chgreat-under-armour-_JM#polycard_client=offers&deal_print_id=df0616d5-3ad5-403f-9d65-04f576e7fe22&position=17
Cooktop A Gás 4 Bocas Electrolux (ke4gp) Cor Preto 127v/220v,"R$
629
R$
439
30% OFF
em 10x R$43,90 sem juros",https://www.mercadolivre.com.br/cooktop-a-gas-4-bocas-electrolux-ke4gp-cor-preto-127v220v/p/MLB16046748?pdp_filters=item_id%3AMLB2025697930#polycard_client=offers&deal_print_id=df0616d5-3ad5-403f-9d65-04f576e7fe22&position=18&wid=MLB2025697930&sid=offers
Creatina Monohidratada 1kg 100% Pura Soldiers Nutrition Sem Sabor,"R$
239
,
90
R$
147
,
99
38% OFF
em 12x R$14,51",https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=K25eEQMxNefsCTndDb34srJz9a1Ye%2FN5o08rvFwFagQtLt1HTI8iQXTDyj3mRobLGLWr08a33cVCiBZntQZ5gt9%2BHR2MTZp%2BKEP6u%2FyIANwYblPHcJ30ilQHIcvy0JBgj5EAjVYdDWdEroprXSnOhfUp8YBBHBx1wp6V1%2FN6UP1VkE0rq4p%2FGDoWtjKeu6qEdDfYHw%2B28JfWL4xMdl8XBQv%2F2D3bjmKbdM71Z4AlkNCzxwkxSQoiGAmwzkfuwz%2Bcti8BJT9KgHKduARHc4ffS1Yc%2FgVY2wvnklAYjjnoAEY%2B9x5QoOdnA%2FroE6ocKa0jYk9kWufWliWP3EvNCVUw8pudr77wzkg%2FXzKcFcZ1UQt%2BXaZT6ouaTC%2BJDLQPh7kl%2ByE9uZYH5gPjVwU89pt8IVACI5alkWSbN%2FblBCXGz7YNF2QQrzQXbqTOU7d5%2B9CxSIc%2BzW9LV39Ecqm9td0xFzEi4gHDTRmT9EpyhOCmAv6xZyoltAZvTyCYCcE2RFyfJAUXk0ZtRcpgxCD5ZL8%2F9bs8lZTXgX2FUMNMmORa7PGNgLCTFzhp6lhHcVCNMO5YxUcg4UfthZmRFZWDE1a1dr8Sed1cfI73l28IBjRMW8NLh6UWoT55uP39rIEy64nZ6v1Am56kypqLTGt0znGk8HM0RBZ4TspgpgDDXxVUSXPIP%2FiW7%2BeF5PL7ecAMWdotM8sHaLdD7mG6v%2BcLob8hA8BlZMve60obz2SNNs8D0cCOpTF58239yvb7jOnfhxgOlsXfFpLgzuEy%2BIv%2Bv2zKndBvCZBhaNRjFK4I5U%2Fj27764HiHM%2FPQ56m8EXE4dH0drbU91pqSOF6J2900WHVlBjw32my2lXX8tK817701s85%2BoAa86L2hWebfL4W9S7rarxQjOWTchjqzItxBSjKxlYMYKAX2l8j2CR12i%2FV5WM%2BCMW0flPBAzheUrdO1La58D8%2BqHLGzYFdOc%2BKoyiD2F1eni3CF526Rtzk5gAsQE6HiVmWRV%2FSCm85OfA%3D%3D&e=mclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927%2Cmclics%2Foverride-min-seasonality%2B49092%2Cmclics%2Fmin-budget-throttling%2B54896%2Cmclics%2Fmore-ads-migration%2B56865%2Cmclics%2Fdiscard-bid-lt-min%2B45363#polycard_client=offers&deal_print_id=df0616d5-3ad5-403f-9d65-04f576e7fe22&position=19&wid=MLB2766771378&sid=offers
Kit Com 10 Cuecas Masculina Boxer De Algodão Mash,"R$
209
,
90
R$
165
,
20
21% OFF no Pix
ou R$173,90 em outros meios",https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=2DLXuts8AXv1srd9P%2F%2FUEcGD%2BAvHbWOnU70S%2F45Px6JBKVo6WY0r1a3%2FWNzv%2Fbjl%2FgRAMpFx20XwLwKUzJn9QnC4yvCyWcQXxA4b2kDyWP0gJt%2BQXVFNw1MtTAznV3dn%2FiF1Ja4Dsq0sadkT9UwE4gOmSh7ulvazFstMbhsP9sEGWdMUR4OwUYw3lrDLMlVCJGTUZtITVhC6UQq8TWpCdT%2BhdU2lVk9zJ90xgXmHPjzx7%2FePKWlX1ZSO535QoKv7TSiVXGXLRNxpsFKsdxZ2UkVqOmAmDdr4k%2B7DLmxhNW7m5fdFdR5VM75gLBPXWy0F%2BO38T1LmVSPo0Jy4zkku1IvunkG0UyEw6UItOhKEgkk%2BoJLkDzxHEofcVgiIbFcS7ylBOPNIrrFjfZRj588Cl4kybEqLGg3YFTJPmXVpD0tnC7zGL9B1v%2F9Fi7r5M7Kjjpc72LoV6OImLP%2Feqv%2B2zA2y1%2Bk9699ZnQk09FesDZcipjYbyvKzFC2sgMjgQdVfwfyZj7W%2FmeNBwZMqIWH9F3Kx0%2BBXrsPMYnsWfTvjNBZvqwcDD%2FiG4qCeGdKYDXeNmMS%2FRnqkp5xt1HpqhDPFTcQo%2F5gteeNJFutuMCbTy8DpqxlkKpAVz4PS68m%2BeX%2FZE9VeRwLvcXszjBQ1LKxwJfYeME1xwW1LXLect2zabzS6kK6HyYlDYc4eW78hJ%2B%2FMBpZlSZsYvPwxoTpiabwvoHOgxrLYnkZMKWJ4q5uKmBl19GKCSc%2FydL4skrYPXf71uIsvvVb%2BRjTn%2FIUQSy51n7e%2F%2BQ4GwGJtqlhcDypoEhVBavCcI%2FHGJU7vh6%2B3I9Gl%2B5WfZ3Rh%2BqILAvHNe50BEDCQHkhbz0Yx99bPxFSQ0ejE%2Bx54sCkFHvE%2F6yoOjxzhJsLxtVMHCdoTuRKjjOiII5%2F5RJlR0TTb93q3CSjA60mk9Tf%2FbOs%3D&e=mclics%2Fmax-bid-capped%2B36382%2Cmclics%2Fmax-bid-item-factor%2B23927%2Cmclics%2Foverride-min-seasonality%2B49092%2Cmclics%2Fmin-budget-throttling%2B54896%2Cmclics%2Fmore-ads-migration%2B56865%2Cmclics%2Fdiscard-bid-lt-min%2B45363#polycard_client=offers&deal_print_id=df0616d5-3ad5-403f-9d65-04f576e7fe22&position=20
Samsung Galaxy A15 4g Dual Sim 128 Gb Azul-claro 4 Gb Ram,"R$
1.365
R$
819
,
85
39% OFF
em 12x R$79,14",https://www.mercadolivre.com.br/samsung-galaxy-a15-4g-dual-sim-128-gb-azul-claro-4-gb-ram/p/MLB32175032?pdp_filters=item_id%3AMLB5093758400#polycard_client=offers&deal_print_id=df0616d5-3ad5-403f-9d65-04f576e7fe22&position=21&wid=MLB5093758400&sid=offers
Aparador De Pelos Philips Oneblade Qp1424/10 Na Cor Cinza Chumbo - Bivolt,"R$
169
,
05
R$
142
16% OFF
em 12x R$13,92",https://www.mercadolivre.com.br/aparador-de-pelos-philips-oneblade-qp142410-na-cor-cinza-chumbo-bivolt/p/MLB23166972?pdp_filters=item_id%3AMLB3645063903#polycard_client=offers&deal_print_id=df0616d5-3ad5-403f-9d65-04f576e7fe22&position=22&wid=MLB3645063903&sid=offers
